"","Political identification","Gender","Age","Education","Race","pai (x-coord)","psi (y-coord)"
"253","Moderate","Female","Middle-aged","Low","White",0.944156457781482,0.802127962045691
"254","Moderate","Female","Old","Moderate","White",0.992129296582133,0.811083302393862
"255","Moderate","Male","Old","High","Hispanic",0.999264908856337,0.664948535046288
"256","Moderate","Female","Young","Moderate","Asian",0.938644891814392,0.778259752491752
"257","Conservative","Male","Old","Low","White",0.992890438105353,0.740973233386412
"258","Liberal","Female","Middle-aged","High","Hispanic",0.990311318420424,0.750475837282375
"259","Moderate","Male","Middle-aged","Moderate","Hispanic",0.989595817439754,0.693596241035378
"260","Moderate","Male","Young","Moderate","Hispanic",0.967694804991748,0.681549231853076
"261","Moderate","Female","Old","Low","White",0.985567158480801,0.839280814604751
"262","Moderate","Male","Old","Moderate","Black",0.998142038184067,0.701999598862246
"263","Conservative","Male","Old","Moderate","White",0.997883428073815,0.724065791860961
"264","Liberal","Female","Middle-aged","High","White",0.998222291121863,0.734048394308052
"265","Liberal","Male","Young","High","Asian",0.996571075134056,0.598676968462315
"266","Very conservative","Male","Middle-aged","High","White",0.998456997821639,0.624075328905862
"267","Conservative","Male","Middle-aged","High","White",0.998327135688405,0.668288577300845
"268","Very conservative","Female","Old","High","Hispanic",0.995122136678366,0.797269539784212
"269","Conservative","Female","Old","High","Black",0.99559963889098,0.789534751401271
"270","Liberal","Female","Old","Moderate","White",0.988338559554257,0.808422904006911
"271","Very liberal","Female","Old","High","White",0.999134513742005,0.740243089975772
"272","Moderate","Female","Young","High","Black",0.980019588673759,0.750171038098589
"273","Conservative","Male","Old","Low","White",0.99432251746802,0.748776752077049
"274","Moderate","Male","Old","Moderate","White",0.998116761380228,0.708308459436713
"275","Conservative","Male","Old","Moderate","Hispanic",0.994262063121437,0.735860851800973
"276","Moderate","Female","Old","Low","White",0.98887984934073,0.845638772926183
"277","Very conservative","Male","Old","Moderate","White",0.994637569525352,0.740346409656727
"278","Moderate","Female","Middle-aged","Moderate","White",0.986724884581017,0.795961870886106
"279","Moderate","Female","Old","Moderate","White",0.992418508847778,0.812129802935717
"280","Very conservative","Female","Middle-aged","Low","White",0.935179634687545,0.827556851589423
"281","Conservative","Male","Old","Moderate","White",0.994854846807274,0.722429363162319
"282","Moderate","Male","Old","Low","White",0.995811591726535,0.740541210164071
"283","Moderate","Male","Middle-aged","Low","White",0.991134274990076,0.713388272510489
"284","Conservative","Female","Middle-aged","Moderate","White",0.979957013207979,0.799636975444012
"285","Very conservative","Male","Old","Low","White",0.995617767418732,0.775229441993005
"286","Very conservative","Male","Old","Moderate","White",0.99694798357338,0.759590234676987
"287","Moderate","Male","Old","Moderate","White",0.998253398586154,0.711128542670102
"288","Liberal","Female","Old","Moderate","Hispanic",0.978159164584572,0.80408051134782
"289","Moderate","Female","Old","Low","White",0.973917118800743,0.823955236060486
"290","Moderate","Male","Middle-aged","High","White",0.998203178014627,0.643065937547003
"291","Very liberal","Male","Middle-aged","Moderate","Hispanic",0.990418086950782,0.653517069940339
"292","Conservative","Male","Old","Low","White",0.996515814470138,0.765141000629632
"293","Conservative","Female","Middle-aged","Low","White",0.928228029019061,0.809968790887916
"294","Very conservative","Female","Old","High","Hispanic",0.99530189655583,0.798373539101638
"295","Conservative","Male","Old","Moderate","Hispanic",0.993815116991203,0.733191627099915
"296","Liberal","Male","Middle-aged","High","Black",0.999188194059286,0.610145580702665
"297","Very liberal","Male","Old","Low","White",0.99796615546133,0.727640713491273
"298","Conservative","Female","Old","Low","White",0.97740365153681,0.841419100271777
"299","Conservative","Female","Old","Moderate","White",0.983576358133266,0.828400875312647
"300","Conservative","Female","Old","Moderate","White",0.988939942398248,0.816608383805071
"301","Liberal","Male","Middle-aged","High","White",0.999196258585752,0.581522295776741
"302","Conservative","Male","Old","Moderate","White",0.996548062492473,0.705939476897641
"303","Conservative","Male","Middle-aged","High","White",0.9993034273865,0.634725315392227
"304","Moderate","Female","Young","High","White",0.985293413153967,0.737957706811955
"305","Liberal","Male","Middle-aged","Low","White",0.993926926682446,0.707292503435321
"306","Very liberal","Female","Old","Low","White",0.986703545311004,0.813123570861814
"307","Conservative","Male","Middle-aged","High","White",0.99790304472832,0.659123099955959
"308","Liberal","Male","Old","High","Hispanic",0.998487458584765,0.681927672873134
"309","Moderate","Female","Old","High","Black",0.998809066520965,0.787097246208482
"310","Conservative","Male","Old","Low","Hispanic",0.976150839369949,0.744561256876799
"311","Conservative","Male","Middle-aged","High","Hispanic",0.992881102830098,0.66332975840793
"312","Moderate","Female","Old","High","Hispanic",0.996466379437442,0.799635485415408
"313","Moderate","Female","Old","Moderate","Black",0.986278545697372,0.836085536979619
"314","Moderate","Female","Middle-aged","High","White",0.994836973811025,0.773296754329948
"315","Liberal","Male","Middle-aged","High","Hispanic",0.997816175349756,0.596010861934893
"316","Conservative","Female","Middle-aged","High","Black",0.995860027632891,0.764898228549087
"317","Moderate","Male","Middle-aged","High","White",0.999425329161592,0.619798794589412
"318","Very liberal","Male","Middle-aged","High","White",0.999471162035251,0.57596798058018
"319","Very conservative","Male","Old","Moderate","White",0.997762283435719,0.710920279604746
"320","Moderate","Female","Old","High","Hispanic",0.99110090178634,0.797218184822809
"321","Very conservative","Male","Old","Low","White",0.993856780139771,0.764314344269519
"322","Conservative","Male","Old","Low","Hispanic",0.98412312080917,0.758614737568679
"323","Moderate","Female","Middle-aged","High","Hispanic",0.972906559669865,0.761998715631673
"324","Moderate","Male","Old","High","Hispanic",0.998928357667383,0.649531954607638
"325","Moderate","Female","Old","Low","Other",0.965513215605866,0.825129536978148
"326","Conservative","Male","Middle-aged","High","White",0.997652332806043,0.654494812080724
"327","Conservative","Male","Old","Moderate","Hispanic",0.986630677951159,0.735602006234817
"328","Very conservative","Male","Middle-aged","Low","White",0.987024912410661,0.738771699111644
"329","Very conservative","Male","Middle-aged","Moderate","White",0.995319589680258,0.714850413208405
"330","Very conservative","Male","Old","Low","White",0.993125629531238,0.760595538392732
"331","Moderate","Male","Old","Low","White",0.996258142659054,0.74446687325055
"332","Liberal","Female","Middle-aged","Moderate","White",0.99122792045776,0.792236871204673
"333","Very conservative","Male","Old","Moderate","Hispanic",0.993934904935694,0.723062336835988
"334","Liberal","Female","Middle-aged","High","White",0.993558513371222,0.747983300685196
"335","Moderate","Male","Old","High","Hispanic",0.999145265616509,0.658821829941787
"336","Conservative","Male","Old","Moderate","Hispanic",0.995907352245148,0.747658633182831
"337","Liberal","Male","Young","High","Black",0.995705130973698,0.611139813725234
"338","Moderate","Male","Old","Moderate","White",0.998317959697266,0.712532496974999
"339","Moderate","Male","Old","Moderate","Hispanic",0.995262032002721,0.723265257440403
"340","Moderate","Female","Old","High","Black",0.995837375492233,0.800110527306137
"341","Very conservative","Male","Middle-aged","High","White",0.998769194767586,0.633659403632348
"342","Liberal","Male","Middle-aged","High","White",0.999525907972583,0.604642247703093
