"","Political identification","Gender","Age","Education","Race","pai (x-coord)","psi (y-coord)"
"227","Liberal","Male","Young","Moderate","White",0.828559275109797,0.166486746143728
"228","Moderate","Male","Old","High","Hispanic",0.846212209701807,0.0879140898046231
"229","Moderate","Male","Young","Moderate","White",0.831288997723575,0.114031638500789
"230","Very conservative","Male","Middle-aged","High","White",0.865955896147112,0.206544102120639
"231","Conservative","Male","Middle-aged","High","White",0.854155577747081,0.153840190800148
"232","Moderate","Female","Young","Moderate","White",0.856600597350637,0.0809321054122052
"233","Moderate","Male","Old","Low","Black",0.854509285204164,0.0461254634386786
"234","Liberal","Male","Old","High","White",0.951373306618655,0.259066498498794
"235","Conservative","Male","Middle-aged","High","White",0.866443037944135,0.234775646678278
"236","Moderate","Female","Middle-aged","High","White",0.923140509638443,0.0923637757329707
"237","Liberal","Female","Middle-aged","High","White",0.906016177887544,0.1110295118287
"238","Conservative","Female","Old","Low","White",0.916941043311838,0.0287914711324646
"239","Conservative","Male","Middle-aged","Moderate","Black",0.854491767194974,0.0845840761391684
"240","Conservative","Male","Middle-aged","High","Black",0.872552387784266,0.168436379482125
"241","Moderate","Male","Old","Low","White",0.940600444561128,0.0571657799422715
"242","Moderate","Male","Middle-aged","High","White",0.902023993236666,0.165006427435121
"243","Moderate","Female","Young","High","Asian",0.798063971117466,0.10426619311947
"244","Conservative","Male","Old","Moderate","White",0.917751499667077,0.0860353135337305
"245","Liberal","Male","Middle-aged","Moderate","White",0.848576218238426,0.129165490944154
"246","Moderate","Female","Middle-aged","High","White",0.933260756166695,0.145436331845947
"247","Liberal","Male","Middle-aged","High","White",0.895615622056955,0.190989135852464
"248","Moderate","Female","Old","Low","White",0.909270031630222,0.0264229170309044
"249","Very liberal","Female","Middle-aged","High","White",0.920350843297744,0.196839483175808
"250","Very liberal","Non-binary","Young","Low","White",0.8530598690354,0.0286756031785689
"251","Very conservative","Male","Old","Low","White",0.88662436560099,0.0471717441837429
"252","Moderate","Female","Middle-aged","High","White",0.928455385803529,0.147122029875511
"253","Moderate","Female","Middle-aged","Low","White",0.849857277307794,0.037956087401539
"254","Moderate","Female","Old","Moderate","White",0.92973863927707,0.0549735892780351
"255","Moderate","Male","Old","High","Hispanic",0.878869665469263,0.136153119543339
"256","Moderate","Female","Young","Moderate","Asian",0.735024448756045,0.0403023115938962
"257","Conservative","Male","Old","Low","White",0.901170550702465,0.0537434819202956
"258","Liberal","Female","Middle-aged","High","Hispanic",0.806731143677656,0.0780542416951024
"259","Moderate","Male","Middle-aged","Moderate","Hispanic",0.764885856093322,0.058077876035344
"260","Moderate","Male","Young","Moderate","Hispanic",0.658241738909586,0.0491595615375632
"261","Moderate","Female","Old","Low","White",0.93429785398098,0.0323232378023128
"262","Moderate","Male","Old","Moderate","Black",0.900044849097289,0.0916395187128325
"263","Conservative","Male","Old","Moderate","White",0.926672567685882,0.0842826589478581
"264","Liberal","Female","Middle-aged","High","White",0.927068546472341,0.169593731355696
"265","Liberal","Male","Young","High","Asian",0.766005779783818,0.167032433430396
"266","Very conservative","Male","Middle-aged","High","White",0.865955896147112,0.206544102120639
"267","Conservative","Male","Middle-aged","High","White",0.901651900043455,0.143590284941849
"268","Very conservative","Female","Old","High","Hispanic",0.865970985345903,0.0588293994297054
"269","Conservative","Female","Old","High","Black",0.901423652483504,0.0734036072820227
"270","Liberal","Female","Old","Moderate","White",0.923150506194599,0.0505632781410074
"271","Very liberal","Female","Old","High","White",0.950029466510586,0.182999542798583
"272","Moderate","Female","Young","High","Black",0.797299666099775,0.0766440166012258
"273","Conservative","Male","Old","Low","White",0.913700552602074,0.0523869713122981
"274","Moderate","Male","Old","Moderate","White",0.926957665599961,0.0978640198649947
"275","Conservative","Male","Old","Moderate","Hispanic",0.838687068099644,0.0458269107821316
"276","Moderate","Female","Old","Low","White",0.944219867925908,0.0313524562649428
"277","Very conservative","Male","Old","Moderate","White",0.903116873285391,0.0591609994074338
"278","Moderate","Female","Middle-aged","Moderate","White",0.90327247963899,0.0583394127762285
"279","Moderate","Female","Old","Moderate","White",0.93134771649552,0.0547403010609195
"280","Very conservative","Female","Middle-aged","Low","White",0.855062171501183,0.0273762944018005
"281","Conservative","Male","Old","Moderate","White",0.899053892997764,0.0695795939203317
"282","Moderate","Male","Old","Low","White",0.92332226190776,0.05989263748813
"283","Moderate","Male","Middle-aged","Low","White",0.879788717203201,0.0651648189592176
"284","Conservative","Female","Middle-aged","Moderate","White",0.883987881668607,0.0516753364153053
"285","Very conservative","Male","Old","Low","White",0.931147072937942,0.0429167329803577
"286","Very conservative","Male","Old","Moderate","White",0.931233836602694,0.0555141899610936
"287","Moderate","Male","Old","Moderate","White",0.930258197991629,0.0970723983496772
"288","Liberal","Female","Old","Moderate","Hispanic",0.831895846517673,0.0351462468977195
"289","Moderate","Female","Old","Low","White",0.90519385522776,0.034652452065038
"290","Moderate","Male","Middle-aged","High","White",0.890458643804174,0.168129522919325
"291","Very liberal","Male","Middle-aged","Moderate","Hispanic",0.748094388869334,0.0802135404318473
"292","Conservative","Male","Old","Low","White",0.936036274684239,0.0495580771875056
"293","Conservative","Female","Middle-aged","Low","White",0.836127400390369,0.0329589690500879
"294","Very conservative","Female","Old","High","Hispanic",0.868834400429589,0.0585807628334295
"295","Conservative","Male","Old","Moderate","Hispanic",0.831836320015573,0.0462220204885202
"296","Liberal","Male","Middle-aged","High","Black",0.8762101402801,0.218819576585234
"297","Very liberal","Male","Old","Low","White",0.943769980360121,0.0770412606363173
"298","Conservative","Female","Old","Low","White",0.918817611103301,0.0286659201685967
