"","Political identification","Gender","Age","Education","Race","pai (x-coord)","psi (y-coord)"
"126","Conservative","Male","Middle-aged","High","White",0.989407386019875,0.676969899271395
"127","Conservative","Male","Middle-aged","Moderate","White",0.965228447134204,0.650400337783541
"128","Moderate","Female","Old","Moderate","White",0.999820493963693,0.761803629718199
"129","Conservative","Female","Old","Moderate","White",0.997901017736623,0.73739186235264
"130","Conservative","Male","Old","High","White",0.999695517160646,0.765914515871527
"131","Moderate","Female","Middle-aged","High","White",0.996149677063202,0.670765249419602
"132","Liberal","Female","Old","High","White",0.999793019857979,0.714624281178882
"133","Conservative","Male","Old","High","Hispanic",0.996790475827655,0.710592664619118
"134","Moderate","Female","Old","High","White",0.999790897276049,0.755495017557185
"135","Moderate","Male","Old","High","White",0.997409454497629,0.675021869431873
"136","Moderate","Female","Old","Moderate","White",0.998215895192975,0.7019760009975
"137","Conservative","Male","Old","Moderate","White",0.996776865481601,0.713688905878803
"138","Moderate","Male","Old","High","White",0.997281910378131,0.670497139223139
"139","Conservative","Female","Middle-aged","High","White",0.998323346707899,0.732208712389027
"140","Very conservative","Female","Old","High","White",0.999683691469563,0.803969645976645
"141","Liberal","Female","Old","High","White",0.998769151004072,0.670135971581808
"142","Moderate","Male","Old","Low","White",0.990314291400601,0.651401348897703
"143","Conservative","Female","Old","High","White",0.999821559680331,0.7889113217402
"144","Liberal","Male","Old","High","White",0.996816235392598,0.627193666672772
"145","Moderate","Male","Old","High","Hispanic",0.995658782187443,0.656191465988912
"146","Conservative","Male","Old","High","Hispanic",0.998282495786876,0.727441993003125
"147","Moderate","Male","Old","High","White",0.998689857149902,0.691631136802189
"148","Moderate","Female","Old","Low","White",0.99514357377869,0.682535708165068
"149","Liberal","Male","Old","High","White",0.993716263318359,0.609075407844274
"150","Moderate","Female","Middle-aged","High","White",0.99814301877592,0.691889952807816
"151","Liberal","Female","Old","High","White",0.999756938750492,0.713142748876635
"152","Conservative","Female","Old","Moderate","Hispanic",0.999486930272713,0.771825112361139
"153","Conservative","Male","Old","Moderate","White",0.993936258743855,0.702065303207394
"154","Conservative","Female","Old","High","Hispanic",0.999439594014655,0.759572557303104
"155","Very conservative","Male","Old","High","White",0.998200931932325,0.756210789707348
"156","Liberal","Female","Middle-aged","High","White",0.998146952626913,0.651578562039077
"157","Liberal","Female","Old","Low","White",0.999362675318305,0.70415784693343
"158","Very conservative","Male","Old","Moderate","White",0.990874100378643,0.722585284613895
"159","Moderate","Female","Old","High","Black",0.99994230402808,0.78082774579106
"160","Very conservative","Male","Old","High","White",0.992218526842104,0.72403692061796
"161","Liberal","Female","Old","High","White",0.998891099965972,0.673202002160085
"162","Liberal","Female","Old","High","White",0.999742873444293,0.71450114881302
"163","Moderate","Male","Old","Moderate","White",0.997879811838775,0.686970926712068
"164","Conservative","Male","Old","High","White",0.995835842694947,0.703706156238343
"165","Liberal","Female","Old","High","White",0.999956796515421,0.755191816655156
"166","Liberal","Male","Old","High","Hispanic",0.998303506041047,0.643023404114478
"167","Moderate","Male","Old","Low","White",0.998657753194235,0.708758824489751
"168","Conservative","Male","Old","High","White",0.996645405678944,0.703832014502011
"169","Moderate","Female","Middle-aged","High","White",0.994697641544757,0.667553679320214
"170","Liberal","Male","Old","Moderate","White",0.997107909784687,0.636753721273821
"171","Very conservative","Female","Old","Moderate","White",0.996284796491207,0.754983973651614
"172","Moderate","Female","Old","High","White",0.999792579731802,0.750435255435863
"173","Moderate","Female","Old","High","White",0.999756421919511,0.749074356735369
"174","Liberal","Male","Old","High","White",0.999539625459153,0.6821787061054
"175","Very liberal","Female","Middle-aged","High","Hispanic",0.991647129702676,0.559689695716157
"176","Very liberal","Female","Young","Low","Hispanic",0.803746195556511,0.469191852462007
"177","Moderate","Female","Old","Moderate","White",0.998824497770885,0.713478269744237
"178","Moderate","Female","Old","Moderate","White",0.996639255340284,0.690083372020266
"179","Moderate","Female","Old","Low","White",0.998608633519612,0.717538976976256
"180","Conservative","Female","Old","Low","White",0.999328386639213,0.770757446590835
"181","Liberal","Male","Middle-aged","High","White",0.995435813271297,0.612523996693107
"182","Very conservative","Female","Old","High","White",0.9998389139879,0.819839932896292
"183","Very liberal","Non-binary","Young","High","White",0.996025995576575,0.595946089927451
"184","Very liberal","Male","Old","High","White",0.99980075895023,0.666421136917435
"185","Conservative","Male","Old","High","White",0.999430308148196,0.750628218632887
"186","Liberal","Male","Old","High","White",0.999753956442287,0.699983859070576
"187","Conservative","Female","Old","High","White",0.998477160964467,0.740191343206034
"188","Conservative","Male","Old","Moderate","White",0.997975067849877,0.72899575026194
"189","Conservative","Male","Old","Moderate","White",0.997095630336506,0.716521363657353
"190","Moderate","Male","Old","Low","White",0.99690974183455,0.685278844167431
"191","Liberal","Female","Middle-aged","High","White",0.994751193856721,0.619388657677226
"192","Very liberal","Female","Old","Low","White",0.999678674193947,0.681562275807321
"193","Moderate","Male","Old","High","White",0.999136919294071,0.703363949754827
"194","Moderate","Male","Middle-aged","High","White",0.988279384085632,0.632508506947014
"195","Moderate","Female","Old","High","White",0.99927387623867,0.717905900254452
"196","Conservative","Male","Middle-aged","Moderate","White",0.982129649802751,0.667648412651511
"197","Very liberal","Female","Middle-aged","High","White",0.990242082168977,0.554915302876319
"198","Liberal","Male","Middle-aged","Moderate","White",0.987635346876194,0.590651308146568
"199","Moderate","Male","Old","Moderate","White",0.998522152645856,0.700201590592178
"200","Very liberal","Male","Old","High","White",0.999540602083725,0.641255537382528
"201","Conservative","Male","Middle-aged","Moderate","Hispanic",0.88838186083885,0.607986929057796
"202","Liberal","Female","Old","Moderate","White",0.999303883174668,0.689732368892758
"203","Very liberal","Female","Middle-aged","High","Hispanic",0.993211256403998,0.566530381586156
"204","Moderate","Female","Old","High","White",0.997922284439407,0.694717837070635
"205","Very conservative","Male","Old","Moderate","White",0.98609576356527,0.716854501757885
"206","Very conservative","Female","Middle-aged","Moderate","White",0.990466839618885,0.736420741302722
"207","Liberal","Female","Old","High","White",0.999545204503798,0.695779133309523
"208","Moderate","Male","Middle-aged","Low","White",0.959494277851387,0.606007693720678
"209","Very liberal","Male","Middle-aged","Moderate","White",0.934318746473455,0.491969165697625
"210","Very liberal","Male","Middle-aged","Moderate","Hispanic",0.92403819084472,0.486382493409319
"211","Very liberal","Male","Young","Moderate","Asian",0.865141617048531,0.465240086242187
"212","Moderate","Female","Old","Low","White",0.999738129828192,0.760374957860558
"213","Very liberal","Male","Young","Moderate","Hispanic",0.88901232103364,0.472503793096766
"214","Very liberal","Female","Old","High","White",0.999745483387488,0.669773187505334
"215","Moderate","Male","Old","High","Black",0.997037583661177,0.67402756826822
"216","Conservative","Female","Old","High","White",0.998309766954994,0.737508749146735
"217","Very liberal","Male","Young","High","Hispanic",0.925164784679578,0.472804740206946
"218","Liberal","Male","Old","Moderate","White",0.996438352659695,0.63029805879105
"219","Moderate","Male","Middle-aged","Moderate","White",0.975762824096467,0.616063838637446
"220","Very liberal","Male","Young","High","White",0.879547225994098,0.459265481703116
"221","Moderate","Female","Middle-aged","Moderate","Black",0.997073394897991,0.68781718039981
"222","Moderate","Male","Middle-aged","Moderate","Hispanic",0.912266399808637,0.568817938977125
"223","Conservative","Male","Old","High","White",0.996952682458903,0.712328197279277
"224","Moderate","Female","Old","High","Hispanic",0.99904994891646,0.716067885809111
"225","Conservative","Female","Old","Low","White",0.999641026194835,0.785162993509122
"226","Conservative","Male","Old","Moderate","White",0.997875312079373,0.724916263124525
"227","Liberal","Male","Young","Moderate","White",0.77673515085523,0.48739404696932
"228","Moderate","Male","Old","High","Hispanic",0.996445871025297,0.668492867091263
"229","Moderate","Male","Young","Moderate","White",0.817830897776304,0.545104351925082
"230","Very conservative","Male","Middle-aged","High","White",0.934787392565378,0.655974853468927
"231","Conservative","Male","Middle-aged","High","White",0.903687003742705,0.606831551383715
"232","Moderate","Female","Young","Moderate","White",0.956431055839539,0.604853357138626
"233","Moderate","Male","Old","Low","Black",0.985737510167676,0.639297569551305
"234","Liberal","Male","Old","High","White",0.999044009180574,0.660714681717081
"235","Conservative","Male","Middle-aged","High","White",0.928264648487647,0.610287269340197
"236","Moderate","Female","Middle-aged","High","White",0.997440781904251,0.688788840418447
"237","Liberal","Female","Middle-aged","High","White",0.992775586580306,0.615962859326462
"238","Conservative","Female","Old","Low","White",0.997393678721293,0.73727494205084
"239","Conservative","Male","Middle-aged","Moderate","Black",0.985131409864455,0.669858711060496
"240","Conservative","Male","Middle-aged","High","Black",0.990767080793956,0.674653026436644
"241","Moderate","Male","Old","Low","White",0.998510180683097,0.705880642760996
"242","Moderate","Male","Middle-aged","High","White",0.982307877568174,0.619489292662772
"243","Moderate","Female","Young","High","Asian",0.982505175206378,0.624147115405484
"244","Conservative","Male","Old","Moderate","White",0.993638804288386,0.697748506245615
"245","Liberal","Male","Middle-aged","Moderate","White",0.872325168357496,0.513381029094243
"246","Moderate","Female","Middle-aged","High","White",0.998492599052846,0.69778579127136
"247","Liberal","Male","Middle-aged","High","White",0.97343092961624,0.561877179247373
"248","Moderate","Female","Old","Low","White",0.995828214310226,0.68995424490666
"249","Very liberal","Female","Middle-aged","High","White",0.995745574320465,0.582191369175038
"250","Very liberal","Non-binary","Young","Low","White",0.976431126618493,0.558199178750692
"251","Very conservative","Male","Old","Low","White",0.977848728828606,0.70681171469776
"252","Moderate","Female","Middle-aged","High","White",0.997938970896153,0.688918234058991
"253","Moderate","Female","Middle-aged","Low","White",0.953669416763792,0.612914844162312
"254","Moderate","Female","Old","Moderate","White",0.998468078265831,0.709133849996088
"255","Moderate","Male","Old","High","Hispanic",0.998756700036673,0.692792028256255
"256","Moderate","Female","Young","Moderate","Asian",0.94039426926538,0.597427107330037
"257","Conservative","Male","Old","Low","White",0.986768997278779,0.682758977288759
"258","Liberal","Female","Middle-aged","High","Hispanic",0.994154376840882,0.618963138254712
"259","Moderate","Male","Middle-aged","Moderate","Hispanic",0.971773198281571,0.610762124524823
"260","Moderate","Male","Young","Moderate","Hispanic",0.801138860297296,0.544656836903768
"261","Moderate","Female","Old","Low","White",0.998982562081085,0.725915268435551
"262","Moderate","Male","Old","Moderate","Black",0.997176560152392,0.678527062530323
"263","Conservative","Male","Old","Moderate","White",0.996216992991404,0.712204473189858
"264","Liberal","Female","Middle-aged","High","White",0.997466699838014,0.642050696259754
"265","Liberal","Male","Young","High","Asian",0.912033727714109,0.516364303303622
"266","Very conservative","Male","Middle-aged","High","White",0.934787392565378,0.655974853468927
"267","Conservative","Male","Middle-aged","High","White",0.98400127875908,0.664690804700382
"268","Very conservative","Female","Old","High","Hispanic",0.999308011159122,0.786761853095558
"269","Conservative","Female","Old","High","Black",0.998861672587319,0.744757426171198
"270","Liberal","Female","Old","Moderate","White",0.997546355135073,0.659088228783831
