"","Political identification","Gender","Age","Education","Race","pai (x-coord)","psi (y-coord)"
"148","Moderate","Female","Old","Low","White",0.984745115577444,0.818973693116825
"149","Liberal","Male","Old","High","White",0.974684604311146,0.767164258019238
"150","Moderate","Female","Middle-aged","High","White",0.990197450856345,0.779715256646662
"151","Liberal","Female","Old","High","White",0.997458112398319,0.801048210246203
"152","Conservative","Female","Old","Moderate","Hispanic",0.988812470744406,0.838362091991274
"153","Conservative","Male","Old","Moderate","White",0.953682572999406,0.790109188675678
"154","Conservative","Female","Old","High","Hispanic",0.988033921790132,0.81072471994188
"155","Very conservative","Male","Old","High","White",0.963579230013478,0.756261115383506
"156","Liberal","Female","Middle-aged","High","White",0.992946718247998,0.780514303589468
"157","Liberal","Female","Old","Low","White",0.996028074283506,0.837298090747594
"158","Very conservative","Male","Old","Moderate","White",0.922411133853027,0.770539638359499
"159","Moderate","Female","Old","High","Black",0.997807592260358,0.813174287681872
"160","Very conservative","Male","Old","High","White",0.927586741442043,0.763228243179697
"161","Liberal","Female","Old","High","White",0.994605017843154,0.799343616306811
"162","Liberal","Female","Old","High","White",0.997401042149413,0.808102138431745
"163","Moderate","Male","Old","Moderate","White",0.979619332898861,0.78180315929419
"164","Conservative","Male","Old","High","White",0.960696048070826,0.768331978795566
"165","Liberal","Female","Old","High","White",0.998922967401094,0.803994987212609
"166","Liberal","Male","Old","High","Hispanic",0.978658395101547,0.785500047290418
"167","Moderate","Male","Old","Low","White",0.984015291648258,0.807617503481381
"168","Conservative","Male","Old","High","White",0.964195607328765,0.752715827837433
"169","Moderate","Female","Middle-aged","High","White",0.983688185484471,0.78885614498817
"170","Liberal","Male","Old","Moderate","White",0.982832023381915,0.780565470114265
"171","Very conservative","Female","Old","Moderate","White",0.973986715130342,0.79729284594947
"172","Moderate","Female","Old","High","White",0.99671471408504,0.793687877055595
"173","Moderate","Female","Old","High","White",0.996461053952746,0.80030479184501
"174","Liberal","Male","Old","High","White",0.992980916556628,0.768137761805246
"175","Very liberal","Female","Middle-aged","High","Hispanic",0.98283912725763,0.796664595184066
"176","Very liberal","Female","Young","Low","Hispanic",0.916487162688679,0.820502223530272
"177","Moderate","Female","Old","Moderate","White",0.992329652938969,0.80571523030477
"178","Moderate","Female","Old","Moderate","White",0.98721797406689,0.814034549084384
"179","Moderate","Female","Old","Low","White",0.99180425868167,0.825923198584641
"180","Conservative","Female","Old","Low","White",0.99208125279608,0.82922025187136
"181","Liberal","Male","Middle-aged","High","White",0.978117890070893,0.752234821291808
"182","Very conservative","Female","Old","High","White",0.994436854412294,0.801349343637838
"183","Very liberal","Non-binary","Young","High","White",0.996273028234692,0.797050732972654
"184","Very liberal","Male","Old","High","White",0.996674992826039,0.774555324069618
"185","Conservative","Male","Old","High","White",0.984983815145468,0.765051480114383
"186","Liberal","Male","Old","High","White",0.994863802366216,0.772349129068515
"187","Conservative","Female","Old","High","White",0.98782264628587,0.79591920336279
"188","Conservative","Male","Old","Moderate","White",0.972635514785218,0.78924493830601
"189","Conservative","Male","Old","Moderate","White",0.967186400812633,0.778965558642094
"190","Moderate","Male","Old","Low","White",0.975897850684123,0.802639331133448
"191","Liberal","Female","Middle-aged","High","White",0.98814985198411,0.77364402831515
"192","Very liberal","Female","Old","Low","White",0.99796032145907,0.835050081870357
"193","Moderate","Male","Old","High","White",0.98669134506958,0.763031067143231
"194","Moderate","Male","Middle-aged","High","White",0.952779937220565,0.762042764364091
"195","Moderate","Female","Old","High","White",0.993858848330569,0.785785246675867
"196","Conservative","Male","Middle-aged","Moderate","White",0.922084675170027,0.775056696945422
"197","Very liberal","Female","Middle-aged","High","White",0.988355426511829,0.770274778358075
"198","Liberal","Male","Middle-aged","Moderate","White",0.964913648323353,0.770906433247558
"199","Moderate","Male","Old","Moderate","White",0.983040005323226,0.791985813878238
"200","Very liberal","Male","Old","High","White",0.994953499152945,0.768966360746067
"201","Conservative","Male","Middle-aged","Moderate","Hispanic",0.736963546515265,0.78809411824277
"202","Liberal","Female","Old","Moderate","White",0.995749506361968,0.809520126866949
"203","Very liberal","Female","Middle-aged","High","Hispanic",0.984519179367109,0.797946574362087
"204","Moderate","Female","Old","High","White",0.989755736586215,0.794740562968182
"205","Very conservative","Male","Old","Moderate","White",0.906695514095388,0.784010920343044
"206","Very conservative","Female","Middle-aged","Moderate","White",0.959274260218034,0.806505635948363
"207","Liberal","Female","Old","High","White",0.996522954376728,0.797228369297193
"208","Moderate","Male","Middle-aged","Low","White",0.916202320652052,0.78645956432427
"209","Very liberal","Male","Middle-aged","Moderate","White",0.941913693375266,0.76843591330777
"210","Very liberal","Male","Middle-aged","Moderate","Hispanic",0.903391396560336,0.793034579824192
"211","Very liberal","Male","Young","Moderate","Asian",0.884189226434451,0.782718692386519
"212","Moderate","Female","Old","Low","White",0.996437823825239,0.834859386878198
"213","Very liberal","Male","Young","Moderate","Hispanic",0.883501243489707,0.7904185054936
"214","Very liberal","Female","Old","High","White",0.9981190903838,0.79391437866284
"215","Moderate","Male","Old","High","Black",0.969601246599805,0.784375129463805
"216","Conservative","Female","Old","High","White",0.987176332608005,0.795274193810044
"217","Very liberal","Male","Young","High","Hispanic",0.902012927915776,0.760589857139621
"218","Liberal","Male","Old","Moderate","White",0.980972411798188,0.779203726880209
"219","Moderate","Male","Middle-aged","Moderate","White",0.9337534782579,0.773791812072973
"220","Very liberal","Male","Young","High","White",0.919369720966383,0.737530062803676
"221","Moderate","Female","Middle-aged","Moderate","Black",0.984760289550632,0.811927313143596
"222","Moderate","Male","Middle-aged","Moderate","Hispanic",0.815953165867941,0.782653888683207
"223","Conservative","Male","Old","High","White",0.966217302610724,0.770443192882093
"224","Moderate","Female","Old","High","Hispanic",0.988921029305444,0.822481666278677
"225","Conservative","Female","Old","Low","White",0.994204066886579,0.832563999013244
"226","Conservative","Male","Old","Moderate","White",0.971822659166821,0.781007487991335
"227","Liberal","Male","Young","Moderate","White",0.851087543296871,0.749218289339732
"228","Moderate","Male","Old","High","Hispanic",0.958308261075007,0.795643987211196
"229","Moderate","Male","Young","Moderate","White",0.824346913151792,0.75888107460069
"230","Very conservative","Male","Middle-aged","High","White",0.808857030769375,0.729772510860711
"231","Conservative","Male","Middle-aged","High","White",0.828195779570782,0.745728917319387
"232","Moderate","Female","Young","Moderate","White",0.95390143381425,0.78305938779729
